,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2358,600519.SH,20100104,108.1492,108.1492,106.4578,106.8539,106.7785,0.07540000000000191,0.0706,44304.88,753405.635
2357,600519.SH,20100105,107.5141,107.8348,106.2629,106.5395,106.8539,-0.314399999999992,-0.2942,31513.18,535720.422
2356,600519.SH,20100106,106.2566,106.5773,104.5715,104.8544,106.5395,-1.6851000000000056,-1.5817,39889.03,666073.283
2355,600519.SH,20100107,104.8544,105.1248,101.786,102.9429,104.8544,-1.9115000000000038,-1.823,48825.55,801445.269
2354,600519.SH,20100108,103.119,103.119,100.6668,101.8615,102.9429,-1.081399999999988,-1.0505,36702.09,593162.176
2353,600519.SH,20100111,102.8675,103.6849,100.9183,101.415,101.8615,-0.44650000000000034,-0.4383,24461.03,395563.861
2352,600519.SH,20100112,101.5156,104.4834,100.9875,104.1565,101.415,2.741499999999988,2.7032,31063.4,509373.871
2351,600519.SH,20100113,103.1127,103.8421,101.2327,101.5093,104.1565,-2.647199999999998,-2.5416,37924.44,621261.8
2350,600519.SH,20100114,101.8615,106.3886,101.8615,105.9736,101.5093,4.464300000000009,4.3979,46454.64,775471.608
2349,600519.SH,20100115,105.9548,109.0169,105.9548,106.8099,105.9736,0.8362999999999943,0.7892,45938.5,788328.964
2348,600519.SH,20100118,106.8917,108.3127,106.8288,107.5079,106.8099,0.6980000000000075,0.6535,21461.53,368485.894
2347,600519.SH,20100119,107.5141,107.8348,106.5773,106.747,107.5079,-0.7609000000000066,-0.7078,17818.91,302797.491
2346,600519.SH,20100120,106.8351,106.986,104.2508,104.3263,106.747,-2.4206999999999965,-2.2677,20972.95,353315.689
2345,600519.SH,20100121,104.2885,105.873,104.0622,104.8356,104.3263,0.5092999999999961,0.4882,17257.48,287779.661
2344,600519.SH,20100122,104.7538,105.1877,101.7923,103.2007,104.8356,-1.6349000000000018,-1.5595,25432.94,416305.093
