date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017/5/2,3427.92,3436.31,3426.58,3418.67,92797464,-13.17,-0.38,3439.84,3446.742,3473.59,104748081.6,108928161.6,123679845.6
2017/5/3,3421.76,3432.22,3413.13,3403.08,91669624,-13.45,-0.39,3434.272,3441.781,3471.444,104267577.6,107002341.6,123684452.4
2017/5/4,3404.94,3421.4,3404.39,3391.28,103482072,-8.74,-0.26,3426.114,3437.632,3466.469,102575987.2,105215622.4,121688605.6
2017/5/5,3393.48,3395.45,3382.55,3366.56,109895328,-21.84,-0.64,3413.28,3429.732,3459.894,99895368,104786733.6,120345021.6
2017/5/8,3369.11,3374.16,3358.81,3339.57,123749280,-23.74,-0.7,3397.092,3418.934,3451.961,104318753.6,106719750.4,119517825.6
2017/5/9,3342.6,3358.05,3352.53,3327.59,76771664,-6.28,-0.19,3382.282,3411.061,3444.331,101113593.6,102930837.6,116262040
2017/5/10,3350.65,3369.43,3337.7,3336,92082624,-14.83,-0.44,3367.196,3400.734,3435.349,101196193.6,102731885.6,112568879.2
2017/5/11,3322.95,3359.6,3356.65,3312.89,109252896,18.95,0.57,3357.648,3391.881,3427.71,102350358.4,102463172.8,108940297.6
2017/5/12,3350.94,3387.27,3385.38,3349.17,93386464,28.73,0.86,3358.214,3385.747,3421.25,99048585.6,99471976.8,107110530.4
2017/5/15,3391.59,3406.58,3399.19,3391.59,82977616,13.81,0.41,3366.29,3381.691,3416.885,90894252.8,97606503.2,104485707.2
2017/5/16,3390.93,3428.85,3428.65,3373.55,105242416,29.46,0.87,3381.514,3381.898,3414.32,96588403.2,98850998.4,103889580
2017/5/17,3423.19,3433.97,3409.97,3408.15,99736832,-18.68,-0.55,3395.968,3381.582,3411.682,98119244.8,99657719.2,103330030.4
2017/5/18,3387.67,3409.93,3398.11,3383.93,85759592,-11.86,-0.35,3404.26,3380.954,3409.293,93420584,97885471.2,101550546.8
2017/5/19,3395.23,3405.94,3403.85,3392.38,71473528,5.74,0.17,3407.954,3383.084,3406.408,89037996.8,94043291.2,99415012.4
2017/5/22,3400.59,3424.18,3411.24,3391.17,92539552,7.39,0.22,3410.364,3388.327,3403.631,90950384,90922318.4,98821034.4
2017/5/23,3405.03,3434.77,3424.19,3401.53,116911032,12.95,0.38,3409.472,3395.493,3403.277,93284107.2,94936255.2,98933546.4
2017/5/24,3409.72,3424.17,3424.17,3383.89,83553160,-0.02,0,3412.312,3404.14,3402.437,90047372.8,94083308.8,98407597.2
2017/5/25,3414.4,3490.42,3485.66,3413.22,130721632,61.49,1.8,3429.822,3417.041,3404.461,99039780.8,96230182.4,99346677.6
2017/5/26,3479.62,3498.31,3480.43,3473.04,103241152,-5.23,-0.15,3445.138,3426.546,3406.147,105393305.6,97215651.2,98343814
2017/5/30,3479.62,3498.31,3480.43,3473.04,103241152,-5.23,-0.15,3458.976,3434.67,3408.181,107533625.6,99242004.8,98424254
2017/5/31,3495.07,3515.08,3492.88,3474.92,104829744,12.45,0.36,3472.714,3441.093,3411.496,105117368,99200737.6,99025868
2017/6/1,3485.22,3499.81,3497.74,3476.43,103127728,4.86,0.14,3487.428,3449.87,3415.726,109032281.6,99539827.2,99598773.2
2017/6/2,3491.59,3498.12,3486.51,3470.2,82668008,-11.23,-0.32,3487.598,3458.71,3419.832,99421556.8,99230668.8,98558070
2017/6/5,3480.17,3484.12,3468.75,3462.31,79738152,-17.76,-0.51,3485.262,3465.2,3424.142,94720956.8,100057131.2,97050211.2
2017/6/6,3464.38,3492.88,3492.88,3460.45,64089392,24.13,0.7,3487.752,3473.364,3430.846,86890604.8,97212115.2,94067216.8
2017/6/7,3493.88,3537.09,3533.87,3491.13,104419960,40.99,1.17,3495.95,3484.332,3439.913,86808648,95963008,95449631.6
2017/6/8,3531.24,3562.27,3560.98,3528.18,90224904,27.11,0.77,3508.598,3498.013,3451.077,84228083.2,96630182.4,95356745.6
2017/6/9,3561.24,3590.89,3576.17,3560.63,101188272,15.19,0.43,3526.53,3507.064,3462.053,87932136,93676846.4,94953514.4
2017/6/12,3570.22,3603.69,3574.39,3565.9,90381168,-1.78,-0.05,3547.658,3516.46,3471.503,90060739.2,92390848,94803249.6
2017/6/13,3569.16,3584.41,3582.27,3559.21,75177136,7.88,0.22,3565.536,3526.644,3480.657,92278288,89584446.4,94413225.6
2017/6/14,3571.25,3571.25,3535.3,3530.27,83810784,-46.97,-1.31,3565.822,3530.886,3485.99,88156452.8,87482550.4,93341644
2017/6/15,3530.75,3542.28,3528.79,3508.95,82632536,-6.51,-0.18,3559.384,3533.991,3491.931,86637979.2,85433031.2,92486429.2
2017/6/16,3522.97,3536.14,3518.76,3514.39,76452704,-10.03,-0.28,3547.902,3537.216,3497.963,81690865.6,84811500.8,92021084.8
2017/6/19,3520.06,3554.91,3553.67,3520.06,79797144,34.91,0.99,3543.758,3545.708,3505.454,79574060.8,84817400,92437265.6
2017/6/20,3560.79,3563.7,3546.49,3539.51,80509560,-7.18,-0.2,3536.602,3551.069,3512.217,80640545.6,86459416.8,91835766
2017/6/21,3567.13,3587.99,3587.95,3545.57,87859824,41.46,1.17,3547.132,3556.477,3520.405,81450353.6,84803403.2,90383205.6
2017/6/22,3583.56,3635.53,3590.34,3581.34,135526976,2.39,0.07,3559.442,3559.413,3528.713,92029241.6,89333610.4,92981896.4
2017/6/23,3583.44,3623.24,3622.88,3569.32,105129136,32.54,0.91,3580.266,3564.084,3535.574,97764528,89727696.8,91702271.6
2017/6/26,3627.02,3671.94,3668.09,3627.02,134638000,45.21,1.25,3603.15,3573.454,3544.957,108732699.2,94153380,93272114
2017/6/27,3665.58,3676.53,3674.72,3648.76,97558704,6.63,0.18,3628.796,3582.699,3554.672,112142528,96391536.8,92987991.6
2017/6/28,3664.16,3672.19,3646.17,3644.03,97920864,-28.55,-0.78,3640.44,3593.786,3562.336,114154736,97802544.8,92642547.6
2017/6/29,3649.25,3669.13,3668.83,3644.73,85589496,22.66,0.62,3656.138,3607.79,3570.891,104167240,98098240.8,91765636
2017/6/30,3654.73,3669.76,3666.8,3646.23,81510024,-2.03,-0.06,3664.922,3622.594,3579.905,99443417.6,98603972.8,91707736.8
2017/7/3,3667.23,3667.6,3650.85,3633.78,88820856,-15.95,-0.43,3661.474,3632.312,3589.01,90279988.8,99506344,92161872
