,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2343,600036.SH,20100104,11.6879,11.8053,11.5119,11.5445,11.7661,-0.22160000000000046,-1.8834,746135.58,1332370.091
2342,600036.SH,20100105,11.5445,11.7336,11.3033,11.5575,11.5445,0.0129999999999999,0.1126,914013.73,1615349.974
2341,600036.SH,20100106,11.5315,11.5315,11.2838,11.3164,11.5575,-0.24109999999999943,-2.0861,774277.06,1348702.948
2340,600036.SH,20100107,11.2968,11.362,10.9383,11.023,11.3164,-0.2934000000000001,-2.5927,1019431.96,1742282.28
2339,600036.SH,20100108,11.0035,11.0686,10.8731,11.023,11.023,0.0,0.0,803598.62,1351767.271
2338,600036.SH,20100111,11.6553,11.6749,10.9513,11.0426,11.023,0.019600000000000506,0.1778,1465692.5,2530625.181
2337,600036.SH,20100112,11.0035,11.1925,10.7232,11.1273,11.0426,0.08469999999999978,0.767,1121898.32,1879278.148
2336,600036.SH,20100113,10.7688,10.8861,10.4103,10.5276,11.1273,-0.5997000000000003,-5.3894,2052232.76,3344313.047
2335,600036.SH,20100114,10.5602,10.658,10.3972,10.6449,10.5276,0.11730000000000018,1.1142,1247175.72,2011436.062
2334,600036.SH,20100115,10.6058,10.7297,10.4494,10.6319,10.6449,-0.0129999999999999,-0.1221,873021.99,1417365.938
2333,600036.SH,20100118,10.495,10.6189,10.4233,10.5472,10.6319,-0.08469999999999978,-0.7967,960226.34,1546142.296
2332,600036.SH,20100119,10.5732,10.6906,10.5341,10.5928,10.5472,0.04560000000000031,0.4323,984442.69,1601316.552
2331,600036.SH,20100120,10.6189,10.6319,10.3125,10.3386,10.5928,-0.25420000000000087,-2.3997,1078806.28,1725434.301
2330,600036.SH,20100121,10.3516,10.6254,10.2994,10.5276,10.3386,0.18900000000000006,1.8281,912858.13,1469683.734
2329,600036.SH,20100122,10.4298,10.9839,10.3972,10.8666,10.5276,0.3390000000000004,3.2201,1944471.02,3191885.833
2328,600036.SH,20100125,10.684,10.9448,10.5276,10.5798,10.8666,-0.2867999999999995,-2.6393,956048.6,1565828.495
2327,600036.SH,20100126,10.5798,10.6645,10.3646,10.4885,10.5798,-0.09130000000000038,-0.863,973648.9,1565571.395
