,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1477,600036.SH,20130820,108731,12093.12,91151,10182.63,208991,23284.55,244007,27238.9,256884,28658.48,297185,33177.48,240833,27007.52,183095,20444.65,-16894,-1738.51
1476,600036.SH,20130821,71234,7796.02,52876,5795.61,131383,14401.35,120776,13245.23,140225,15383.9,124048,13603.76,51967,5685.58,97109,10622.24,-78275,-8537.48
1475,600036.SH,20130822,68648,7542.36,62132,6847.4,127252,13995.95,123704,13632.53,156245,17191.91,164364,18065.32,113605,12496.75,115551,12681.73,-37601,-4043.17
1474,600036.SH,20130823,278604,29627.39,209923,22294.54,350154,37194.72,288495,30617.81,361303,38401.49,326122,34642.65,191514,20319.46,357036,37988.05,-178688,-19084.17
1473,600036.SH,20130826,211896,22279.15,223947,23594.56,337466,35502.06,322988,34022.89,402627,42325.34,375288,39472.55,370510,39054.47,400276,42071.01,90967,9702.91
1472,600036.SH,20130827,159892,16926.46,152834,16185.11,262764,27820.24,259824,27522.91,314420,33295.98,327471,34705.45,298180,31637.63,295126,31266.84,-52375,-5445.64
1471,600036.SH,20130905,143829,15382.17,188564,20172.4,277979,29731.75,303886,32505.25,372084,39796.3,337093,36057.55,385123,41179.75,349471,37354.78,-59940,-6353.84
1470,600036.SH,20130906,105084,11289.26,127333,13731.78,157755,16951.14,207194,22300.86,264866,28454.39,257507,27684.95,283917,30542.53,219587,23519.73,75091,8104.43
1469,600036.SH,20130909,277925,31769.65,372644,42621.52,510347,58293.21,599966,68542.34,634493,72409.31,643446,73392.66,844144,96459.7,650855,74375.35,402160,46012.75
1468,600036.SH,20130910,158348,18350.38,191981,22271.94,367804,42637.53,398366,46221.01,477438,55371.8,445522,51707.39,384594,44751.89,352315,40911.26,129895,15191.87
1467,600036.SH,20130911,146176,17041.3,210344,24534.56,319482,37248.56,377828,44076.43,453602,52898.55,407500,47521.26,443083,51786.45,366672,42842.61,62638,7370.84
1466,600036.SH,20130912,240134,28540.13,320978,38169.9,424500,50325.25,488923,58010.49,639078,75631.07,573192,67876.73,622603,74017.63,543223,64456.97,164461,19601.28
1465,600036.SH,20130913,110145,13047.46,128041,15173.82,263498,31249.15,261117,30964.1,426158,50525.81,396785,47042.5,348430,41240.09,362287,42882.1,-63974,-7526.91
1464,600036.SH,20130916,135290,15798.2,104128,12181.97,323071,37762.46,251600,29440.23,380203,44452.26,343445,40179.46,220000,25731.16,359391,41942.41,-71686,-8267.2
1463,600036.SH,20130917,220437,25076.11,128046,14584.27,310820,35378.21,215358,24578.16,358002,40692.56,298451,33994.56,217343,24699.1,464747,52688.97,-220110,-24966.34
1462,600036.SH,20130918,101528,11417.88,87690,9871.65,161412,18158.17,161082,18135.21,281774,31716.7,269808,30363.27,128223,14437.86,154356,17360.48,-28023,-3101.68
1461,600036.SH,20130923,152627,17080.75,90481,10138.22,219446,24572.32,162225,18181.62,283000,31690.38,305311,34186.05,142944,16022.02,240000,26859.57,-86530,-9636.98
1460,600036.SH,20130924,206410,22567.09,137105,14984.81,307074,33563.89,220779,24135.68,214706,23472.96,230672,25219.78,99741,10912.68,239375,26176.36,-111909,-12235.46
1459,600036.SH,20130925,142260,15503.69,95106,10378.16,217960,23771.69,151551,16551.63,174569,19042.12,191957,20935.46,124969,13660.8,221145,24113.05,-2724,-268.15
1458,600036.SH,20130926,144215,15417.02,114502,12250.72,198509,21229.35,188155,20124.08,203159,21736.37,186870,19996.22,62395,6685.21,118750,12696.94,-33713,-3560.15
1457,600036.SH,20130927,90257,9696.94,82879,8907.36,125376,13474.4,102645,11036.88,99686,10716.94,131980,14179.11,33710,3624.15,31524,3389.09,-17768,-1886.48
1456,600036.SH,20130930,76647,8358.06,76915,8391.43,121752,13279.8,114825,12527.63,130331,14217.31,147757,16120.01,96594,10543.96,85827,9360.05,14147,1562.92
1455,600036.SH,20131008,92466,10036.43,69955,7602.46,161355,17522.3,152698,16594.05,177602,19270.66,198850,21588.2,65952,7175.97,75872,8220.65,-29244,-3100.7
1454,600036.SH,20131009,86825,9510.75,76163,8347.38,145363,15931.46,151488,16602.42,172619,18919.1,201453,22086.96,92228,10122.14,67930,7446.68,5021,587.05
1453,600036.SH,20131010,97039,10497.31,71624,7751.65,147109,15929.96,122035,13215.31,175801,19038.17,187259,20269.89,80200,8681.44,119230,12910.01,-74657,-8059.43
1452,600036.SH,20131011,97963,10702.12,96063,10508.42,203263,22213.02,200769,21955.67,254711,27850.3,278929,30505.01,189437,20701.75,169613,18498.1,52526,5810.29
1451,600036.SH,20131014,121910,13213.08,82901,8993.76,174008,18869.22,141621,15372.06,210850,22880.2,235221,25522.41,114874,12463.83,161899,17538.1,-143420,-15521.48
1450,600036.SH,20131015,119877,12891.71,87489,9417.35,158454,17044.99,180389,19415.41,168823,18167.1,154459,16613.22,128776,13877.94,153594,16535.76,-57088,-6103.37
1449,600036.SH,20131016,96625,10371.29,85768,9213.11,166716,17898.0,159370,17119.95,164930,17714.95,181419,19487.46,84271,9057.23,85984,9220.95,6215,698.8
1448,600036.SH,20131017,115457,12321.47,80531,8600.35,173068,18483.16,162082,17314.6,127370,13621.66,145819,15589.12,39087,4185.02,66550,7107.25,-58675,-6225.23
1447,600036.SH,20131018,65843,7017.49,50056,5336.3,103976,11083.99,117947,12572.0,89457,9537.84,97489,10393.98,64900,6922.14,58684,6259.18,22310,2394.26
1446,600036.SH,20131021,88050,9394.14,78719,8427.71,148600,15871.62,146321,15649.47,167281,17876.76,177557,18945.54,77015,8237.51,78349,8357.31,11650,1309.02
1445,600036.SH,20131022,87488,9315.39,53859,5737.97,122656,13067.1,99061,10557.52,125050,13328.79,128622,13711.73,79977,8512.3,133630,14216.36,-95689,-10165.87
1444,600036.SH,20131023,109221,11731.69,112649,12109.37,180259,19376.39,185313,19919.27,214484,23054.3,197128,21196.86,141030,15210.92,149904,16147.79,1893,246.26
1443,600036.SH,20131024,82802,8822.57,64660,6895.49,175824,18751.09,160518,17119.76,188963,20148.61,220682,23523.65,81439,8676.23,83168,8859.59,-78124,-8290.13
1442,600036.SH,20131025,100366,10688.42,95806,10215.68,193997,20682.07,212835,22688.39,239969,25606.92,221437,23629.51,112747,12043.3,117002,12487.12,-17691,-1832.09
1441,600036.SH,20131028,51868,5492.87,46906,4969.12,91207,9662.4,94618,10023.82,98182,10402.33,121283,12849.85,53865,5707.59,32316,3422.38,-9221,-958.8
1440,600036.SH,20131029,167964,18182.06,218485,23676.99,331630,35906.53,383160,41542.4,445398,48254.03,430623,46690.92,440316,47953.56,353040,38385.87,193724,21008.67
1439,600036.SH,20131030,106812,11596.76,98073,10653.47,229272,24892.83,239050,25958.74,273640,29716.8,274974,29854.36,177617,19297.92,175245,19037.76,122705,13358.8
1438,600036.SH,20131031,84837,9168.01,67226,7274.85,176094,19035.7,135707,14686.48,216548,23417.41,231882,25086.39,220313,23815.81,262977,28389.2,-20161,-2131.66
1437,600036.SH,20131101,68741,7483.17,99206,10800.82,179054,19476.69,185178,20155.88,238940,26018.04,241825,26318.29,198584,21636.55,159110,17339.46,118597,12962.01
1436,600036.SH,20131104,71819,7812.29,50615,5513.24,131428,14308.58,109119,11889.74,132260,14394.37,158970,17293.99,70911,7706.55,87713,9524.82,-40718,-4388.3
1435,600036.SH,20131105,121615,12998.74,77465,8284.69,166204,17765.39,136061,14551.07,208218,22255.88,217702,23276.13,145087,15483.34,209896,22391.46,-70713,-7509.41
1434,600036.SH,20131106,83329,8876.8,67952,7240.78,144298,15375.27,111391,11871.04,138720,14783.13,185112,19730.24,125754,13408.75,127645,13601.9,-15735,-1659.05
1433,600036.SH,20131107,47313,5044.22,49035,5230.56,103755,11064.13,91632,9773.84,141512,15092.84,119554,12752.7,88584,9456.43,120943,12900.53,98010,10476.01
1432,600036.SH,20131108,66522,7072.79,62372,6641.75,137550,14645.68,109381,11654.04,166150,17701.63,112517,11988.88,62831,6686.41,148783,15821.83,-51202,-5405.92
1431,600036.SH,20131111,62253,6571.26,32147,3395.55,108814,11487.89,91339,9646.87,130269,13753.08,149436,15784.81,127698,13491.19,156112,16476.19,-83473,-8803.6
1430,600036.SH,20131112,74897,7932.46,54998,5833.78,137986,14616.88,143682,15233.93,232069,24609.6,243978,25875.25,144661,15341.99,146953,15557.98,43792,4686.86
1429,600036.SH,20131113,208249,21671.02,95958,9985.44,251634,26201.97,173262,18054.94,271989,28295.75,255048,26548.87,125854,13119.19,333459,34698.68,-124011,-12945.23
1428,600036.SH,20131114,90367,9299.41,56642,5831.46,151894,15634.82,117421,12092.29,198617,20448.83,153295,15781.48,56882,5854.27,170402,17532.1,-23761,-2421.87
1427,600036.SH,20131115,127009,13220.83,100748,10505.21,253021,26354.86,273099,28486.96,254314,26493.91,285379,29738.41,141814,14812.87,116933,12151.89,-37520,-3860.35
1426,600036.SH,20131118,250019,27215.77,442225,48326.34,489849,53124.22,783344,85138.96,674091,73002.96,802203,87049.56,1321302,144447.68,707489,77275.76,376580,41712.42
1425,600036.SH,20131119,204150,22640.42,184050,20455.88,361667,40149.07,302747,33676.56,404442,44893.43,428236,47580.3,437588,48681.07,492815,54651.26,-116961,-12883.0
1424,600036.SH,20131120,162114,17778.1,113132,12417.27,280880,30842.36,233619,25648.84,307338,33773.49,337550,37093.88,165748,18246.9,231778,25480.87,21846,2469.4
1423,600036.SH,20131121,130313,14130.77,115829,12574.56,287146,31164.11,270621,29388.16,287545,31219.75,337053,36646.59,314444,34206.78,295944,32112.09,-27205,-2907.45
1422,600036.SH,20131122,76403,8373.08,88525,9712.89,187801,20584.58,202684,22232.2,226076,24778.69,275293,30192.12,507226,55567.22,431005,47166.36,-62925,-6816.92
1421,600036.SH,20131125,79149,8647.55,68705,7514.65,162198,17740.13,147779,16169.7,186759,20425.81,178582,19534.0,126093,13793.16,159133,17388.3,7973,926.16
1420,600036.SH,20131126,84303,9133.9,53348,5780.8,145194,15736.16,110779,12004.93,139480,15116.6,167690,18175.48,82871,8976.96,120031,13002.41,16425,1794.19
1419,600036.SH,20131127,96373,10476.22,74209,8073.21,191718,20859.82,174998,19039.01,243158,26469.43,263737,28721.22,197772,21546.21,216077,23518.25,-57358,-6174.71
1418,600036.SH,20131128,93693,10271.77,96417,10580.97,178374,19555.81,172404,18914.61,274278,30093.16,280733,30780.64,168740,18521.28,165530,18165.8,40093,4434.96
1417,600036.SH,20131129,81243,8874.45,59958,6550.24,162417,17743.61,124608,13616.23,130430,14251.37,144432,15785.11,107349,11731.73,152441,16649.58,2626,302.58
1416,600036.SH,20131202,155302,17205.41,201935,22394.9,305281,33802.42,360420,39937.5,455464,50451.47,450478,49919.68,391271,43428.7,294485,32635.92,181519,20183.57
1415,600036.SH,20131203,80927,8965.81,82709,9164.87,148623,16463.32,162500,18004.43,242524,26879.08,237990,26378.78,116559,12925.55,105434,11685.69,16197,1832.02
1414,600036.SH,20131204,117812,13142.21,129171,14416.05,221325,24686.73,225983,25217.94,351925,39240.04,361607,40327.99,141071,15760.61,115372,12867.61,20215,2301.35
1413,600036.SH,20131205,114525,12639.51,74739,8254.14,199224,21989.12,223913,24715.56,199270,21995.73,155713,17193.08,113418,12536.18,172072,18997.76,-69664,-7675.31
1412,600036.SH,20131206,97561,10658.5,75422,8241.46,172410,18844.66,142413,15566.74,220510,24104.64,188642,20628.56,123214,13478.12,207217,22649.16,-48224,-5240.43
1411,600036.SH,20131209,79688,8696.09,74637,8147.02,145532,15888.41,128632,14046.94,161848,17679.36,163387,17842.03,122215,13341.16,142627,15569.02,-36511,-3963.38
1410,600036.SH,20131210,144014,15938.43,149243,16516.19,271751,30071.88,275795,30515.61,331173,36649.98,340901,37745.16,269077,29802.54,250077,27685.86,50131,5605.36
1409,600036.SH,20131211,134060,14853.01,138507,15352.47,205123,22725.37,223352,24757.35,280837,31112.27,351035,38913.22,485468,53816.25,392593,43483.86,-51143,-5606.55
1408,600036.SH,20131212,114557,12646.92,95632,10578.67,183251,20249.58,167513,18535.67,224118,24776.22,250680,27733.68,277320,30722.84,285420,31547.55,-73543,-8079.04
1407,600036.SH,20131213,215817,23162.34,135092,14507.24,276305,29664.39,201708,21668.08,312776,33579.52,290524,31208.39,169185,18152.7,346759,37175.25,-111047,-11884.68
1406,600036.SH,20131216,147288,15772.72,87886,9421.79,261079,27982.16,174617,18723.98,235045,25198.42,256191,27466.17,226746,24298.72,351464,37640.08,-134277,-14328.93
1405,600036.SH,20131217,74730,7969.68,87146,9300.33,218596,23333.82,143680,15331.89,167464,17865.66,185097,19754.24,118059,12593.44,162926,17376.14,-50390,-5337.92
1404,600036.SH,20131218,86073,9256.11,103033,11096.96,260565,28017.84,172100,18519.16,224979,24198.15,272492,29292.85,175356,18856.72,199350,21419.85,105582,11374.37
1403,600036.SH,20131219,79878,8598.63,77603,8357.65,250355,26960.74,191685,20645.7,199052,21433.99,236756,25501.93,127753,13763.68,150993,16251.76,-21782,-2325.43
1402,600036.SH,20131220,198573,20808.46,120910,12683.17,373448,39244.62,293934,30887.37,305427,32048.4,348539,36544.61,155716,16378.86,269783,28365.18,-215545,-22520.07
1401,600036.SH,20131223,136049,14062.14,74060,7657.93,252933,26161.52,176922,18308.91,234001,24201.44,219311,22684.35,158367,16379.27,311056,32153.17,-8315,-815.52
1400,600036.SH,20131224,141282,14469.53,88152,9034.75,210295,21559.48,167513,17172.85,238524,24437.44,231333,23714.1,329218,33785.71,432322,44330.47,-163860,-16770.28
1399,600036.SH,20131225,112052,11383.88,86030,8749.94,164044,16671.58,123967,12615.43,237019,24088.52,217215,22096.3,429652,43733.05,515556,52415.37,59639,6171.95
1398,600036.SH,20131226,84903,8659.7,89974,9182.05,132790,13548.29,169096,17256.43,163405,16670.62,138319,14116.33,133077,13586.24,116786,11910.05,-79961,-8133.36
1397,600036.SH,20131227,123947,12764.89,107187,11049.3,186875,19251.32,168844,17406.76,289037,29786.97,254516,26213.58,105797,10913.39,175108,18046.93,145749,15043.35
1396,600036.SH,20131230,110229,11431.54,137594,14327.07,161598,16771.86,217394,22624.53,275732,28647.96,352616,36726.38,491874,51414.78,331829,34588.16,268370,28156.72
1395,600036.SH,20131231,165397,18035.11,395706,43228.32,306887,33413.16,624202,68092.61,506351,55215.33,924222,100730.56,1986713,217099.2,1021218,111711.29,1133852,123820.55
1394,600036.SH,20140102,106087,11391.02,78534,8435.58,151798,16299.6,154701,16614.32,179610,19282.86,191015,20511.22,95068,10202.39,108312,11614.75,-88455,-9471.39
1393,600036.SH,20140103,131820,13856.79,90851,9552.68,231260,24303.8,167703,17644.24,167860,17641.91,155724,16374.49,54358,5709.0,171019,17940.09,-96853,-10172.42
1392,600036.SH,20140106,108548,11284.99,86961,9047.86,230495,23962.59,205309,21353.07,220897,22967.14,260835,27134.81,94030,9797.87,100865,10476.86,-37030,-3814.94
1391,600036.SH,20140107,67989,7077.96,81790,8561.56,135584,14147.16,123953,12964.51,177633,18542.47,165807,17329.75,161358,16843.52,171014,17755.29,-13931,-1368.03
1390,600036.SH,20140108,59939,6353.33,83811,8896.46,123736,13124.14,159476,16918.09,178940,18963.69,150637,15961.94,130323,13846.81,99014,10511.48,82366,8792.61
1389,600036.SH,20140109,47138,5035.13,79907,8539.81,122781,13113.98,164900,17622.65,188510,20126.91,154368,16489.1,123805,13244.88,83059,8869.32,19390,2108.82
1388,600036.SH,20140110,70285,7550.93,121580,13067.95,165867,17803.92,201677,21668.8,176756,18995.7,209869,22556.94,216054,23266.41,95836,10323.27,143785,15512.8
1387,600036.SH,20140113,70938,7720.29,141065,15360.66,201679,21949.18,268567,29227.93,435573,47395.96,277436,30187.78,71526,7798.95,92648,10088.01,216195,23532.22
1386,600036.SH,20140114,65468,7036.1,57685,6206.28,115600,12437.69,117995,12697.22,133856,14400.75,129519,13920.15,133755,14354.07,143479,15404.96,-58047,-6188.3
1385,600036.SH,20140115,76402,8110.82,69868,7413.47,100132,10634.14,99780,10602.91,120096,12744.2,114884,12201.31,59104,6273.87,71202,7545.35,-60838,-6465.75
1384,600036.SH,20140116,68651,7261.9,37009,3915.64,92128,9743.56,103432,10941.98,91152,9642.67,111538,11798.3,23993,2538.98,23945,2531.2,-34047,-3586.75
1383,600036.SH,20140117,65872,6902.2,50310,5278.91,125113,13119.19,135238,14184.49,160636,16838.21,183035,19188.8,167113,17527.93,150152,15735.33,-94328,-9853.07
1382,600036.SH,20140120,43857,4603.62,34541,3631.24,108599,11406.26,124916,13118.79,92582,9726.56,65248,6859.23,30341,3188.59,50673,5315.77,-43178,-4500.69
1381,600036.SH,20140121,50051,5289.42,48050,5083.37,84113,8903.39,75647,8009.39,72319,7653.38,80776,8548.72,45108,4783.6,47119,4988.31,11872,1267.59
1380,600036.SH,20140122,73329,7801.79,79283,8449.15,144185,15342.18,171349,18248.26,152509,16210.1,178394,18976.26,131214,14000.26,72211,7680.67,16510,1776.97
1379,600036.SH,20140123,87635,9252.98,70463,7442.71,136599,14432.33,99164,10483.15,116054,12255.88,117496,12416.69,46053,4865.83,99218,10464.47,-36233,-3814.45
1378,600036.SH,20140124,111838,11686.62,74000,7741.51,182443,19075.66,144159,15086.49,153786,16086.08,141183,14770.55,74576,7802.67,163299,17052.48,-81412,-8477.0
1377,600036.SH,20140127,89150,9213.43,83437,8630.27,123763,12795.46,107213,11095.6,143035,14798.83,135867,14053.56,114839,11882.03,144271,14910.32,-95835,-9902.49
1376,600036.SH,20140128,59079,6149.38,67665,7046.36,125434,13058.65,127184,13250.31,143076,14910.43,106961,11140.23,69990,7291.75,95769,9973.3,35996,3771.97
1375,600036.SH,20140129,52997,5564.88,57051,5992.94,83507,8769.07,80019,8405.19,111378,11696.12,105852,11115.63,37500,3944.43,42460,4460.75,-198,-5.62
1374,600036.SH,20140130,51869,5382.27,36119,3751.74,82157,8526.47,65112,6762.04,84739,8800.41,84773,8803.8,46628,4840.24,79389,8231.82,-121803,-12625.18
1373,600036.SH,20140207,72709,7472.8,70682,7267.66,104562,10749.83,88104,9060.57,93465,9608.01,100357,10314.21,50100,5151.41,61692,6339.63,-30627,-3134.34
1372,600036.SH,20140210,90753,9441.51,69799,7262.97,162722,16932.52,160406,16690.78,176363,18349.36,216567,22533.45,113122,11772.14,96187,10008.33,-51294,-5323.65
1371,600036.SH,20140211,170790,17985.32,160406,16937.15,290832,30678.43,342400,36153.71,400051,42222.89,400795,42281.55,223061,23601.04,181134,19115.26,-54766,-5636.31
1370,600036.SH,20140212,89601,9434.65,67282,7090.5,174891,18421.16,173122,18236.82,181094,19077.4,182941,19282.75,92443,9738.11,114682,12061.25,-81048,-8474.54
1369,600036.SH,20140213,154331,16303.88,155429,16449.79,277873,29373.39,316292,33458.31,339674,35917.02,309164,32692.98,199504,21167.65,190495,20160.86,30758,3393.42
1368,600036.SH,20140214,76370,8018.1,64627,6787.31,128676,13513.45,119100,12511.79,141035,14811.1,156926,16483.58,76579,8047.03,82008,8607.02,-55150,-5770.27
1367,600036.SH,20140217,92630,9743.72,84075,8847.25,157356,16557.91,143980,15153.75,202814,21339.07,181060,19050.61,166783,17564.76,210468,22153.85,-49830,-5223.81
1366,600036.SH,20140218,162278,16825.61,89986,9345.2,219576,22771.73,152885,15869.59,224353,23276.93,229924,23849.78,113138,11757.8,246551,25567.51,-161314,-16692.76
1365,600036.SH,20140219,145483,15151.59,132381,13838.73,284307,29652.16,355108,37019.2,399675,41769.1,315018,32894.16,266483,27740.16,293441,30560.91,-7962,-566.54
1364,600036.SH,20140220,128397,13412.76,117771,12317.14,214053,22382.84,218176,22828.92,220939,23138.25,223681,23415.9,103106,10794.8,106866,11166.7,-71771,-7425.88
1363,600036.SH,20140221,92675,9569.2,56643,5856.77,178064,18402.27,130827,13525.07,177977,18399.55,132248,13682.1,65610,6771.02,194608,20078.09,-64536,-6623.56
1362,600036.SH,20140224,216573,21914.13,135609,13727.46,291528,29503.84,240351,24335.14,232566,23536.68,221857,22465.51,103632,10492.08,246482,24918.63,-154280,-15594.14
1361,600036.SH,20140225,208843,20921.59,136385,13671.46,311472,31201.13,298639,29933.3,238471,23917.76,268297,26915.87,84322,8464.81,139787,13984.66,-116048,-11598.7
1360,600036.SH,20140226,92142,9189.48,67422,6727.09,158023,15764.16,178578,17814.11,144090,14376.84,132656,13234.9,29295,2926.77,44894,4481.15,-5409,-513.63
1359,600036.SH,20140227,121151,12078.48,83566,8345.15,221744,22126.1,186383,18612.28,212776,21245.24,237898,23754.46,85902,8593.23,133726,13331.15,1841,222.51
1358,600036.SH,20140228,142153,14097.41,87388,8673.95,236846,23514.01,219572,21801.95,186853,18571.64,192907,19165.13,61907,6147.18,127892,12689.22,-106083,-10507.47
1357,600036.SH,20140303,213442,20937.02,131307,12879.95,288374,28291.71,238397,23387.86,199408,19570.38,256953,25222.9,81871,8037.53,156438,15345.93,-129237,-12666.91
1356,600036.SH,20140304,176728,17158.84,109960,10682.77,273709,26575.94,220637,21433.19,248039,24090.11,245251,23817.01,50203,4877.7,172831,16769.63,-111192,-10761.4
1355,600036.SH,20140305,132091,12777.83,73408,7106.07,203385,19680.42,124191,12027.5,142533,13797.7,277539,26863.86,101103,9789.73,103973,10048.26,-82988,-8029.38
1354,600036.SH,20140306,98929,9579.39,85668,8312.02,178790,17319.99,184863,17936.59,185274,17959.87,209124,20254.66,86312,8395.35,69649,6751.35,31842,3128.57
1353,600036.SH,20140307,109643,10664.25,82733,8056.77,189491,18436.85,179997,17523.74,153322,14918.62,165240,16078.87,95748,9343.02,120233,11703.36,-66460,-6444.84
1352,600036.SH,20140310,146686,13962.51,97848,9307.1,226067,21523.92,200170,19051.16,193590,18437.0,194831,18549.71,142788,13577.55,216281,20593.01,-166783,-15880.85
1351,600036.SH,20140311,86929,8224.84,57467,5438.67,143716,13600.37,153509,14528.32,137847,13044.53,122611,11606.06,44969,4257.86,79874,7554.54,-45928,-4320.21
1350,600036.SH,20140312,104537,9975.77,102064,9754.06,196421,18746.78,220540,21059.65,193884,18498.78,212420,20277.53,91914,8797.9,51731,4928.0,12566,1237.17
1349,600036.SH,20140313,119015,11551.63,117058,11374.6,233709,22699.82,252776,24570.77,228101,22163.84,265878,25837.14,119792,11671.62,64904,6304.4,-24448,-2312.77
1348,600036.SH,20140314,98359,9395.64,66413,6348.18,149842,14317.79,119663,11443.79,179362,17136.55,203701,19458.5,149883,14305.94,187669,17905.45,-184902,-17622.71
1347,600036.SH,20140317,64004,6133.96,68756,6593.87,99798,9565.75,96291,9235.8,109608,10505.38,122596,11749.96,79363,7622.71,65131,6248.17,-36579,-3493.77
1346,600036.SH,20140318,66040,6341.99,58997,5670.99,107630,10337.2,101898,9794.02,120809,11603.81,144411,13870.69,153549,14744.9,142721,13692.21,-14784,-1401.86
1345,600036.SH,20140319,51880,4936.74,55703,5299.78,91554,8713.76,91794,8736.77,83441,7942.49,91633,8722.66,78485,7470.38,66230,6304.17,-58202,-5526.29
1344,600036.SH,20140320,78994,7535.5,79397,7578.17,127698,12195.63,121910,11642.23,107471,10259.71,108727,10375.93,49130,4700.88,53259,5095.39,-19136,-1803.91
1343,600036.SH,20140321,158629,15445.66,245773,23949.89,303069,29470.82,381822,37157.66,334261,32477.44,312855,30405.32,347744,33751.34,203252,19632.38,194853,18964.37
1342,600036.SH,20140324,106080,10418.83,95570,9394.96,224890,22094.3,219593,21588.41,280245,27527.37,283965,27909.11,187235,18417.6,199322,19565.63,-31544,-3061.94
1341,600036.SH,20140325,65308,6401.39,57398,5632.12,127185,12467.45,143176,14044.73,149621,14665.51,151643,14863.78,76902,7546.59,66798,6540.3,-25795,-2507.28
1340,600036.SH,20140326,52076,5103.14,49011,4803.41,102258,10021.94,103536,10146.57,141742,13896.54,129424,12687.39,40252,3943.89,54356,5328.14,-25231,-2460.66
1339,600036.SH,20140327,100568,9847.01,103509,10162.63,227030,22245.04,209747,20599.93,269324,26443.35,285962,28075.18,131480,12952.14,129184,12649.79,42069,4239.9
1338,600036.SH,20140328,85852,8448.75,81682,8043.62,185995,18309.05,174059,17143.25,265392,26120.95,221810,21832.06,138386,13627.33,198073,19487.16,83236,8235.26
1337,600036.SH,20140331,78015,7655.76,72829,7154.95,208496,20473.99,163490,16052.97,190926,18735.25,167531,16450.12,61785,6062.16,135371,13269.12,56887,5633.18
1336,600036.SH,20140401,53429,5272.95,63812,6300.87,116062,11452.15,144975,14314.31,189049,18675.73,140998,13922.11,46995,4644.14,55749,5507.68,58586,5793.44
1335,600036.SH,20140402,78697,7807.15,81194,8071.35,135044,13405.06,168009,16690.89,142417,14140.19,158562,15751.34,113565,11307.8,61958,6146.61,91950,9158.84
1334,600036.SH,20140403,83937,8352.23,69079,6874.7,140006,13924.36,145891,14508.8,118542,11788.68,117401,11677.89,33630,3342.87,43744,4346.74,24703,2480.8
1333,600036.SH,20140404,53791,5316.92,50031,4951.89,99099,9792.26,104132,10299.3,99314,9827.24,99490,9845.21,37626,3733.68,36177,3573.7,60891,6049.12
1332,600036.SH,20140408,187152,19051.73,240514,24504.88,348067,35419.63,379463,38665.34,452072,46019.0,414053,42146.63,269185,27443.78,222446,22617.31,167930,17112.56
1331,600036.SH,20140409,80016,8159.41,73719,7518.34,160749,16396.72,129995,13262.53,163670,16702.07,143730,14660.79,91027,9276.77,148018,15093.31,11645,1206.39
1330,600036.SH,20140410,154976,16037.46,205586,21338.51,316987,32790.19,408782,42346.75,403999,41871.94,426391,44216.5,381441,39686.62,216644,22484.44,208899,21875.99
1329,600036.SH,20140411,122263,12668.53,107772,11176.67,251084,26029.8,230046,23864.47,325908,33792.05,325800,33786.58,137750,14296.04,173386,17958.71,-57959,-5939.84
1328,600036.SH,20140414,85408,8795.21,60122,6201.65,148042,15254.89,127450,13142.67,147501,15215.99,183166,18890.92,64410,6656.2,74622,7687.04,-89688,-9200.66
1327,600036.SH,20140415,119564,12087.64,63319,6402.08,170746,17267.59,125929,12741.41,186925,18900.9,194802,19693.09,81754,8257.72,174938,17677.27,-113164,-11442.86
1326,600036.SH,20140416,47456,4797.49,52133,5272.94,126874,12831.19,124847,12625.24,119629,12098.41,118414,11974.32,29042,2940.4,27606,2794.98,14812,1510.87
1325,600036.SH,20140417,41735,4219.65,37410,3783.88,78483,7935.98,96917,9802.0,91276,9233.19,73719,7457.02,38362,3880.46,41809,4226.38,-48316,-4878.75
1324,600036.SH,20140418,85328,8523.05,86600,8657.0,152318,15223.59,152146,15210.85,142032,14204.93,117443,11737.93,69740,6972.4,93230,9318.18,-62459,-6217.24
1323,600036.SH,20140421,91102,9051.53,39965,3979.85,156174,15529.08,116030,11549.9,148345,14776.75,181792,18103.56,56620,5628.99,114454,11353.05,-85762,-8481.71
1322,600036.SH,20140422,86260,8534.76,75812,7505.75,137462,13608.12,125867,12464.34,134663,13333.97,104777,10378.0,39302,3887.42,91230,9016.18,59278,5885.41
1321,600036.SH,20140423,85002,8464.6,69034,6875.24,143271,14272.01,148159,14761.71,121957,12156.8,143967,14348.38,46415,4627.83,35484,3535.92,4295,439.9
1320,600036.SH,20140424,47479,4754.06,58676,5884.78,90671,9080.91,144661,14499.39,133111,13335.55,153555,15396.77,143936,14452.34,58305,5841.91,13295,1363.44
1319,600036.SH,20140425,60796,6155.77,108285,10980.07,140084,14179.48,195341,19805.27,255991,25948.46,251429,25491.19,271399,27562.22,173215,17569.41,137502,13996.32
1318,600036.SH,20140428,64063,6437.73,65000,6539.06,157223,15813.18,159299,16029.1,235077,23645.92,201359,20258.78,121069,12167.07,151775,15236.96,35403,3601.49
