,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1520,600036.SH,20130620,9.3166,9.3166,8.8803,8.9349,9.3321,-0.3972,-4.2563,632956.14,736010.524,148196,17205.38,86889,10089.12,182723,21230.84,140575,16354.73,159324,18528.28,185087,21559.88,142713,16636.33,220406,25597.08,-124744,-14497.83
1519,600036.SH,20130621,8.8024,9.1686,8.709,9.1218,8.9349,0.1869,2.0918,703208.15,813131.669,101845,11767.45,109502,12682.42,229130,26498.33,259507,30031.55,226742,26187.47,218540,25242.85,145491,16859.7,115659,13356.14,121242,14086.57
1518,600036.SH,20130624,9.0595,9.0595,8.3818,8.5142,9.1218,-0.6076,-6.661,1181471.18,1301685.336,196806,21680.15,124081,13689.7,366586,40417.66,301894,33296.81,439277,48376.96,408325,45028.58,178802,19693.51,347171,38153.18,-198909,-21823.38
1517,600036.SH,20130625,8.413,8.5921,7.7898,8.5064,8.5142,-0.0078,-0.0916,1280406.68,1368236.729,181403,19300.42,166464,17782.51,459998,49182.25,406490,43550.26,510289,54633.6,493664,52828.94,128717,13707,213789,22661.56,-57873,-6034.32
1516,600036.SH,20130626,8.5921,8.5999,8.2026,8.3039,8.5064,-0.2025,-2.3806,938929.18,1006917.466,172362,18452.16,135216,14487.63,280605,30054.91,262956,28219.05,347163,37253.74,429303,46052.25,138798,14930.59,111455,11932.46,-84414,-9026.61
1515,600036.SH,20130627,8.3662,8.5532,8.3273,8.5064,8.3039,0.2025,2.4386,722900.48,783616.968,127554,13821.1,127776,13861.57,254798,27619.44,256529,27798.5,203726,22083.89,230518,24983.27,136822,14837.04,108077,11718.12,22855,2522.42
1514,600036.SH,20130628,8.5064,9.0673,8.4519,9.0361,8.5064,0.5297,6.2271,1168720.92,1327338.645,115223,13076.84,193569,21980.97,285316,32344.05,372712,42283.96,311516,35338.34,351651,39945.47,456655,51973.26,250778,28522.09,87494,9848.95
1513,600036.SH,20130701,8.9582,9.0439,8.7245,8.8648,9.0361,-0.1713,-1.8957,484821.45,551215.443,93148,10583.91,66963,7618.79,153340,17426.9,143276,16308.81,160708,18282.26,182676,20755.66,76677,8720.24,90959,10330.03,-54886,-6192.05
1512,600036.SH,20130702,8.8648,8.9271,8.5843,8.7323,8.8648,-0.1325,-1.4947,639065.64,714282.189,116543,13020.16,93101,10408.28,176866,19752.42,190342,21296.88,187283,20918.28,194770,21771.2,158374,17737.15,160853,17951.64,-54267,-6018.15
1511,600036.SH,20130703,8.709,8.9193,8.5454,8.8414,8.7323,0.1091,1.2494,605196.34,675330.198,92007,10224.07,102303,11413.21,139594,15533.98,197389,22025.96,204952,22808.13,192386,21481.36,168643,18966.65,113118,12612.31,-67745,-7424.88
1510,600036.SH,20130704,8.7713,8.9505,8.6466,8.7557,8.8414,-0.0857,-0.9693,530585.39,599276.018,99864,11269.07,114736,12958.76,171464,19358.49,204073,23050.52,167660,18945.12,145958,16474.9,91597,10354.59,65819,7443.09,-59472,-6677.45
1509,600036.SH,20130705,8.7635,8.8414,8.67,8.7791,8.7557,0.0234,0.2673,375915,423780.59,71105,8012.17,63663,7179.16,107966,12170.13,115843,13058.51,117258,13217.1,131457,14819.37,79585,8978.55,64951,7320.9,5156,603.89
1508,600036.SH,20130708,8.6856,8.7401,8.5532,8.5921,8.7791,-0.187,-2.1301,464950.8,514504.504,68547,7579.42,50719,5618.63,131986,14603.38,125547,13907.31,145072,16065.48,122811,13604.88,119346,13202.07,165873,18319.52,-95790,-10554.15
1507,600036.SH,20130709,8.5843,8.7635,8.5532,8.6934,8.5921,0.1013,1.179,494188.97,548827.323,44812,4975.73,46639,5184.97,96568,10712.32,127140,14108.24,109967,12207.21,144165,16000.71,242842,26987.38,176245,19588.71,-41523,-4601.06
1506,600036.SH,20130710,8.7245,8.8414,8.6155,8.818,8.6934,0.1246,1.4333,414297.65,463874.281,65666,7343.29,61284,6872.16,119546,13381.47,135259,15152.1,127014,14223.98,133821,14985.15,102071,11438.6,83933,9377.94,19508,2247.68
1505,600036.SH,20130711,8.8414,9.6827,8.8414,9.4646,8.818,0.6466,7.3327,1605217.11,1916691.204,192469,22977.74,289579,34572.83,363602,43389.83,542356,64784.74,448372,53475.26,490928,58647.05,600773,71825.75,282354,33663.97,244731,28864.18
1504,600036.SH,20130712,9.3477,9.4334,8.9582,9.0517,9.4646,-0.4129,-4.3626,901119.31,1063540.51,188412,22215.17,167090,19745.38,283114,33444.93,281041,33205.95,317333,37413.81,296156,34935.7,112260,13279.72,156833,18466.6,-93671,-10997.33
1503,600036.SH,20130715,9.1452,9.2776,8.9972,9.0751,9.0517,0.0234,0.2585,674696.48,789286.759,106545,12453.37,80580,9442.59,211530,24745.9,190762,22341.57,256504,30000.94,250368,29275.02,100118,11728.32,152986,17869.34,-21793,-2475.19
1502,600036.SH,20130716,9.0673,9.0673,8.8881,9.0595,9.0751,-0.0156,-0.1719,618611.94,712310.042,101692,11701.49,89560,10313.95,168724,19427.2,163402,18821.12,203771,23460.36,193629,22312.57,144425,16641.73,172021,19783.15,2524,323.89
1501,600036.SH,20130717,9.0361,9.0751,8.8648,8.8803,9.0595,-0.1792,-1.978,526247.93,605064.972,86336,9921.98,71287,8203.94,151618,17445.01,122515,14098.1,195753,22516.73,159638,18362.82,92541,10622.59,172809,19841.46,-11851,-1319.16
1500,600036.SH,20130718,8.8492,8.9582,8.6544,8.709,8.8803,-0.1713,-1.929,535603.19,599859.95,90815,10171.92,60596,6790.28,140189,15704.13,129532,14515.42,189086,21187.37,175705,19687.47,115513,12922.41,169770,18992.66,-67316,-7512.45
1499,600036.SH,20130719,8.7245,8.7869,8.4753,8.5064,8.709,-0.2026,-2.3263,558328.48,617765.423,111469,12309.54,64320,7116.11,180147,19924.78,149957,16590.4,191976,21278.74,183581,20326.97,74712,8260.67,160446,17740.24,-53318,-5803.68
1498,600036.SH,20130722,8.3351,8.4831,8.2338,8.4519,8.5064,-0.0545,-0.6407,568043.54,610322.275,97777,10501.88,80636,8666.33,185786,19963.66,145912,15686.72,178737,19203.84,196538,21126.45,105743,11362.57,144958,15552.45,49795,5384.41
1497,600036.SH,20130723,8.5064,8.7947,8.4207,8.6155,8.4519,0.1636,1.9357,552013.75,613854.027,98671,10950.85,97004,10787.22,191199,21246.87,209555,23307.49,185866,20679.7,177930,19780.98,76278,8507.84,67524,7509.57,14133,1641.9
1496,600036.SH,20130724,8.4519,8.5999,8.3195,8.4909,8.6155,-0.1246,-1.4462,649577.35,703058.436,120809,13056.63,101849,11023.29,186166,20120.92,189821,20538.2,175248,18969.73,230783,24971.78,167354,18158.33,127125,13772.34,-56918,-6077.19
1495,600036.SH,20130725,8.522,8.6155,8.374,8.4363,8.4909,-0.0546,-0.643,414720.19,450453.998,84424,9162.46,62634,6808.64,143757,15606.84,128320,13940.15,137539,14945.15,162968,17688.74,48979,5328.55,60777,6605.47,-50467,-5450.09
1494,600036.SH,20130726,8.413,8.413,8.2961,8.3662,8.4363,-0.0701,-0.8309,305764.89,328006.281,66858,7166.75,49050,5261.65,91519,9814.93,101288,10865.72,99110,10633.46,125897,13506.45,48265,5183.96,29516,3165.27,-34642,-3696.76
1493,600036.SH,20130729,8.2572,8.265,8.1014,8.1715,8.3662,-0.1947,-2.3272,466252.62,488458.881,101086,10590.82,60941,6385.2,130673,13694.79,113682,11915.28,129793,13597.41,162604,17041.41,74546,7816.38,98871,10357.5,-55893,-5839.36
1492,600036.SH,20130730,8.2416,8.4052,8.1948,8.3195,8.1715,0.148,1.8112,490212.61,521396.815,68331,7265.38,64404,6849.47,135687,14430.35,139538,14852.73,177145,18841.92,192716,20508.23,109002,11596.93,93508,9924.15,67958,7224.51
1491,600036.SH,20130731,8.413,8.5298,8.2338,8.2572,8.3195,-0.0623,-0.7488,339730.38,363813.591,75338,8067.81,51473,5521.35,96169,10316.51,99198,10641.07,99174,10621.7,90669,9717.43,69050,7375.22,98390,10501.39,-47377,-5010.79
1490,600036.SH,20130801,8.3273,8.4909,8.2805,8.4675,8.2572,0.2103,2.5469,470898.6,508365.097,54524,5877.73,78235,8452.37,134751,14536.41,158444,17104.18,193115,20837.59,162410,17533.87,88509,9584.65,71810,7745.96,78634,8523.55
1489,600036.SH,20130802,8.5142,8.6155,8.3896,8.4207,8.4675,-0.0468,-0.5527,360885.37,394147.509,73146,7974.19,79513,8680.35,110334,12044.45,114797,12529.43,105648,11539.36,96614,10550.99,71758,7856.47,69961,7653.69,1350,196.67
1488,600036.SH,20130805,8.4285,8.4909,8.3506,8.4519,8.4207,0.0312,0.3705,290814.6,313861.674,60956,6574.93,74489,8035.6,93718,10114.17,88827,9593.41,96229,10385.73,79966,8631.3,39912,4311.05,47532,5125.58,15398,1684.96
1487,600036.SH,20130806,8.3974,8.4753,8.3195,8.3818,8.4519,-0.0701,-0.8294,400976.31,431419.275,78314,8416.41,55928,6018.23,125665,13521.91,119264,12837.68,156028,16796.74,123110,13243.67,40969,4406.74,102674,11042.22,18577,2025.2
1486,600036.SH,20130807,8.3818,8.4986,8.3351,8.3506,8.3818,-0.0312,-0.3722,380693.82,411065.839,66014,7120.94,60257,6507.22,137911,14892.3,130222,14069.95,116080,12541.98,127298,13743.97,60689,6551.25,62917,6785.32,-928,-63.3
1485,600036.SH,20130808,8.3351,8.5142,8.3273,8.374,8.3506,0.0234,0.2802,426517.29,460570.979,56421,6085.61,64938,7016.38,125787,13579.24,152157,16430.79,154132,16635.54,157968,17053.54,90178,9756.58,51454,5556.26,16428,1812.23
1484,600036.SH,20130809,8.4441,8.4909,8.2182,8.3273,8.374,-0.0467,-0.5577,422536.02,452598.144,80140,8579.54,54508,5850.26,147433,15809.32,127631,13706.14,135356,14492.18,143870,15407.54,59607,6378.61,96526,10295.72,-39705,-4232.98
1483,600036.SH,20130812,8.413,8.6155,8.3273,8.6077,8.3273,0.2804,3.3672,819750.23,896354.841,117564,12859.43,154725,16936.04,229031,25012.47,263814,28818.57,291788,31909.85,244269,26700.61,181357,19852.47,156933,17179.01,159909,17534.53
1482,600036.SH,20130813,8.6077,8.7323,8.5843,8.6856,8.6077,0.0779,0.905,650071.81,723604.776,73419,8161.27,91468,10177.97,157520,17517.52,174475,19416.33,203013,22595.35,216082,24048.46,216011,24074.04,167938,18705.41,21162,2393.89
1481,600036.SH,20130814,8.709,8.8336,8.6544,8.6856,8.6856,0,0,544141.11,610890.31,68151,7648.12,78860,8858.21,170575,19148.07,157968,17739.78,194534,21831.12,193675,21735.82,110882,12461.61,113638,12755.1,44799,5077.4
1480,600036.SH,20130815,8.6856,8.7557,8.5921,8.5999,8.6856,-0.0857,-0.9867,395855.71,442036.397,56921,6351.85,56456,6307.81,115173,12864.42,103871,11604.32,168295,18791.35,149468,16696.37,51120,5709.98,81714,9109.09,27852,3143
1479,600036.SH,20130816,8.5765,9.4568,8.3818,8.561,8.5999,-0.0389,-0.4523,1513499.4,1708117.924,219173,24558.29,199973,22595.42,425854,47841.49,457562,51552.95,429839,48371.61,456534,51626.19,438628,50039.61,399425,45036.44,102770,12375.97
1478,600036.SH,20130819,8.4597,8.7635,8.4052,8.6622,8.561,0.1012,1.1821,680192.2,749488.387,79710,8774.34,106467,11744.02,191151,21046.94,232530,25632.59,255897,28193.32,248689,27411.91,153434,16934.09,92507,10160.16,79793,8850.06
1477,600036.SH,20130820,8.6389,8.8492,8.5454,8.5921,8.6622,-0.0701,-0.8093,815439.07,910438.148,108731,12093.12,91151,10182.63,208991,23284.55,244007,27238.9,256884,28658.48,297185,33177.48,240833,27007.52,183095,20444.65,-16894,-1738.51
1476,600036.SH,20130821,8.6544,8.67,8.4675,8.5142,8.5921,-0.0779,-0.9066,394809.26,432670.096,71234,7796.02,52876,5795.61,131383,14401.35,120776,13245.23,140225,15383.9,124048,13603.76,51967,5685.58,97109,10622.24,-78275,-8537.48
1475,600036.SH,20130822,8.4909,8.6856,8.4753,8.4986,8.5142,-0.0156,-0.1832,465750.28,512270.695,68648,7542.36,62132,6847.4,127252,13995.95,123704,13632.53,156245,17191.91,164364,18065.32,113605,12496.75,115551,12681.73,-37601,-4043.17
1474,600036.SH,20130823,8.4909,8.561,8.0624,8.226,8.4986,-0.2726,-3.2076,1181589.69,1255450.613,278604,29627.39,209923,22294.54,350154,37194.72,288495,30617.81,361303,38401.49,326122,34642.65,191514,20319.46,357036,37988.05,-178688,-19084.17
1473,600036.SH,20130826,8.1871,8.3428,8.078,8.3351,8.226,0.1091,1.3263,1322500.73,1391616.243,211896,22279.15,223947,23594.56,337466,35502.06,322988,34022.89,402627,42325.34,375288,39472.55,370510,39054.47,400276,42071.01,90967,9702.91
1472,600036.SH,20130827,8.2572,8.3351,8.1948,8.3039,8.3351,-0.0312,-0.3743,1035255.23,1096806.084,159892,16926.46,152834,16185.11,262764,27820.24,259824,27522.91,314420,33295.98,327471,34705.45,298180,31637.63,295126,31266.84,-52375,-5445.64
1471,600036.SH,20130905,8.4942,8.5339,8.4227,8.4624,8.3037,0.1587,1.9112,1179014.6,1260903.584,143829,15382.17,188564,20172.4,277979,29731.75,303886,32505.25,372084,39796.3,337093,36057.55,385123,41179.75,349471,37354.78,-59940,-6353.84
1470,600036.SH,20130906,8.4386,8.7006,8.4227,8.645,8.4624,0.1826,2.1578,811621.53,872375.299,105084,11289.26,127333,13731.78,157755,16951.14,207194,22300.86,264866,28454.39,257507,27684.95,283917,30542.53,219587,23519.73,75091,8104.43
1469,600036.SH,20130909,8.772,9.2721,8.7403,9.1928,8.645,0.5478,6.3366,2266909.91,2589324.183,277925,31769.65,372644,42621.52,510347,58293.21,599966,68542.34,634493,72409.31,643446,73392.66,844144,96459.7,650855,74375.35,402160,46012.75
1468,600036.SH,20130910,9.1928,9.3357,9.0816,9.2325,9.1928,0.0397,0.4319,1388182.8,1611118.512,158348,18350.38,191981,22271.94,367804,42637.53,398366,46221.01,477438,55371.8,445522,51707.39,384594,44751.89,352315,40911.26,129895,15191.87
1467,600036.SH,20130911,9.2166,9.3992,9.1531,9.2245,9.2325,-0.008,-0.0867,1362343.54,1589758.704,146176,17041.3,210344,24534.56,319482,37248.56,377828,44076.43,453602,52898.55,407500,47521.26,443083,51786.45,366672,42842.61,62638,7370.84
1466,600036.SH,20130912,9.2166,9.677,9.1134,9.4547,9.2245,0.2302,2.4955,1926315.22,2285151.06,240134,28540.13,320978,38169.9,424500,50325.25,488923,58010.49,639078,75631.07,573192,67876.73,622603,74017.63,543223,64456.97,164461,19601.28
1465,600036.SH,20130913,9.415,9.55,9.296,9.3833,9.4547,-0.0714,-0.7552,1148430.23,1360865.445,110145,13047.46,128041,15173.82,263498,31249.15,261117,30964.1,426158,50525.81,396785,47042.5,348430,41240.09,362287,42882.1,-63974,-7526.91
1464,600036.SH,20130916,9.5103,9.5262,9.1293,9.2483,9.3833,-0.135,-1.4387,1058563.88,1237443.674,135290,15798.2,104128,12181.97,323071,37762.46,251600,29440.23,380203,44452.26,343445,40179.46,220000,25731.16,359391,41942.41,-71686,-8267.2
1463,600036.SH,20130917,9.3277,9.3277,8.8752,8.8832,9.2483,-0.3651,-3.9478,1106656.06,1258523.71,220437,25076.11,128046,14584.27,310820,35378.21,215358,24578.16,358002,40692.56,298451,33994.56,217343,24699.1,464747,52688.97,-220110,-24966.34
1462,600036.SH,20130918,8.9308,8.9864,8.7958,8.8514,8.8832,-0.0318,-0.358,672935.85,757308.661,101528,11417.88,87690,9871.65,161412,18158.17,161082,18135.21,281774,31716.7,269808,30363.27,128223,14437.86,154356,17360.48,-28023,-3101.68
1461,600036.SH,20130923,8.899,9.0022,8.7958,8.8832,8.8514,0.0318,0.3593,798017.35,893657.027,152627,17080.75,90481,10138.22,219446,24572.32,162225,18181.62,283000,31690.38,305311,34186.05,142944,16022.02,240000,26859.57,-86530,-9636.98
1460,600036.SH,20130924,8.8911,8.8911,8.5894,8.6371,8.8832,-0.2461,-2.7704,827974.26,905216.778,206410,22567.09,137105,14984.81,307074,33563.89,220779,24135.68,214706,23472.96,230672,25219.78,99741,10912.68,239375,26176.36,-111909,-12235.46
1459,600036.SH,20130925,8.6371,8.78,8.5815,8.6053,8.6371,-0.0318,-0.3682,659758.45,719786.133,142260,15503.69,95106,10378.16,217960,23771.69,151551,16551.63,174569,19042.12,191957,20935.46,124969,13660.8,221145,24113.05,-2724,-268.15
1458,600036.SH,20130926,8.5894,8.5974,8.4227,8.5418,8.6053,-0.0635,-0.7379,608277.55,650682.194,144215,15417.02,114502,12250.72,198509,21229.35,188155,20124.08,203159,21736.37,186870,19996.22,62395,6685.21,118750,12696.94,-33713,-3560.15
1457,600036.SH,20130927,8.518,8.5815,8.4942,8.5736,8.5418,0.0318,0.3723,349028.41,375127.1,90257,9696.94,82879,8907.36,125376,13474.4,102645,11036.88,99686,10716.94,131980,14179.11,33710,3624.15,31524,3389.09,-17768,-1886.48
1456,600036.SH,20130930,8.6371,8.7085,8.6053,8.6688,8.5736,0.0952,1.1104,425351.31,464022.337,76647,8358.06,76915,8391.43,121752,13279.8,114825,12527.63,130331,14217.31,147757,16120.01,96594,10543.96,85827,9360.05,14147,1562.92
1455,600036.SH,20131008,8.6768,8.7006,8.5021,8.6609,8.6688,-0.0079,-0.0911,497397.86,540080.438,92466,10036.43,69955,7602.46,161355,17522.3,152698,16594.05,177602,19270.66,198850,21588.2,65952,7175.97,75872,8220.65,-29244,-3100.7
1454,600036.SH,20131009,8.6529,8.8117,8.5894,8.7006,8.6609,0.0397,0.4584,497034.17,544836.793,86825,9510.75,76163,8347.38,145363,15931.46,151488,16602.42,172619,18919.1,201453,22086.96,92228,10122.14,67930,7446.68,5021,587.05
1453,600036.SH,20131010,8.7006,8.7085,8.5101,8.5577,8.7006,-0.1429,-1.6424,500148.68,541470.739,97039,10497.31,71624,7751.65,147109,15929.96,122035,13215.31,175801,19038.17,187259,20269.89,80200,8681.44,119230,12910.01,-74657,-8059.43
1452,600036.SH,20131011,8.645,8.7482,8.5815,8.6847,8.5577,0.127,1.484,745395.37,814697.864,97963,10702.12,96063,10508.42,203263,22213.02,200769,21955.67,254711,27850.3,278929,30505.01,189437,20701.75,169613,18498.1,52526,5810.29
1451,600036.SH,20131014,8.6926,8.7165,8.5418,8.5736,8.6847,-0.1111,-1.2793,621651.89,674276.673,121910,13213.08,82901,8993.76,174008,18869.22,141621,15372.06,210850,22880.2,235221,25522.41,114874,12463.83,161899,17538.1,-143420,-15521.48
1450,600036.SH,20131015,8.5974,8.6133,8.4942,8.518,8.5736,-0.0556,-0.6485,575931.15,619820.036,119877,12891.71,87489,9417.35,158454,17044.99,180389,19415.41,168823,18167.1,154459,16613.22,128776,13877.94,153594,16535.76,-57088,-6103.37
1449,600036.SH,20131016,8.518,8.5894,8.4783,8.518,8.518,0,0,512541.52,550416.969,96625,10371.29,85768,9213.11,166716,17898,159370,17119.95,164930,17714.95,181419,19487.46,84271,9057.23,85984,9220.95,6215,698.8
1448,600036.SH,20131017,8.5577,8.5736,8.4069,8.4148,8.518,-0.1032,-1.2116,454981.78,486115.182,115457,12321.47,80531,8600.35,173068,18483.16,162082,17314.6,127370,13621.66,145819,15589.12,39087,4185.02,66550,7107.25,-58675,-6225.23
1447,600036.SH,20131018,8.4386,8.5101,8.4148,8.4386,8.4148,0.0238,0.2828,324176.05,345615.768,65843,7017.49,50056,5336.3,103976,11083.99,117947,12572,89457,9537.84,97489,10393.98,64900,6922.14,58684,6259.18,22310,2394.26
1446,600036.SH,20131021,8.4386,8.5736,8.3751,8.5418,8.4386,0.1032,1.223,480946.72,513801.818,88050,9394.14,78719,8427.71,148600,15871.62,146321,15649.47,167281,17876.76,177557,18945.54,77015,8237.51,78349,8357.31,11650,1309.02
1445,600036.SH,20131022,8.5259,8.5418,8.4148,8.4386,8.5418,-0.1032,-1.2082,415171.2,442237.052,87488,9315.39,53859,5737.97,122656,13067.1,99061,10557.52,125050,13328.79,128622,13711.73,79977,8512.3,133630,14216.36,-95689,-10165.87
1444,600036.SH,20131023,8.4783,8.6529,8.4386,8.4783,8.4386,0.0397,0.4705,644994.1,693735.318,109221,11731.69,112649,12109.37,180259,19376.39,185313,19919.27,214484,23054.3,197128,21196.86,141030,15210.92,149904,16147.79,1893,246.26
1443,600036.SH,20131024,8.4783,8.5339,8.4148,8.4386,8.4783,-0.0397,-0.4683,529027.84,563986.321,82802,8822.57,64660,6895.49,175824,18751.09,160518,17119.76,188963,20148.61,220682,23523.65,81439,8676.23,83168,8859.59,-78124,-8290.13
1442,600036.SH,20131025,8.4148,8.5577,8.3751,8.4227,8.4386,-0.0159,-0.1884,647078.67,690208.816,100366,10688.42,95806,10215.68,193997,20682.07,212835,22688.39,239969,25606.92,221437,23629.51,112747,12043.3,117002,12487.12,-17691,-1832.09
1441,600036.SH,20131028,8.4307,8.4465,8.3751,8.4307,8.4227,0.008,0.095,295122.78,312652.837,51868,5492.87,46906,4969.12,91207,9662.4,94618,10023.82,98182,10402.33,121283,12849.85,53865,5707.59,32316,3422.38,-9221,-958.8
1440,600036.SH,20131029,8.4465,8.78,8.4465,8.6133,8.4307,0.1826,2.1659,1385308.87,1502964.676,167964,18182.06,218485,23676.99,331630,35906.53,383160,41542.4,445398,48254.03,430623,46690.92,440316,47953.56,353040,38385.87,193724,21008.67
1439,600036.SH,20131030,8.6529,8.6688,8.5339,8.6609,8.6133,0.0476,0.5526,787341.96,855045.333,106812,11596.76,98073,10653.47,229272,24892.83,239050,25958.74,273640,29716.8,274974,29854.36,177617,19297.92,175245,19037.76,122705,13358.8
1438,600036.SH,20131031,8.6609,8.6688,8.518,8.5259,8.6609,-0.135,-1.5587,697792.21,754370.325,84837,9168.01,67226,7274.85,176094,19035.7,135707,14686.48,216548,23417.41,231882,25086.39,220313,23815.81,262977,28389.2,-20161,-2131.66
1437,600036.SH,20131101,8.6291,8.6926,8.5656,8.6609,8.5259,0.135,1.5834,685405.22,746239.947,68741,7483.17,99206,10800.82,179054,19476.69,185178,20155.88,238940,26018.04,241825,26318.29,198584,21636.55,159110,17339.46,118597,12962.01
1436,600036.SH,20131104,8.7244,8.7403,8.5656,8.5736,8.6609,-0.0873,-1.008,406417.67,442218.798,71819,7812.29,50615,5513.24,131428,14308.58,109119,11889.74,132260,14394.37,158970,17293.99,70911,7706.55,87713,9524.82,-40718,-4388.3
1435,600036.SH,20131105,8.5656,8.5656,8.3989,8.5339,8.5736,-0.0397,-0.463,641124.26,685035.385,121615,12998.74,77465,8284.69,166204,17765.39,136061,14551.07,208218,22255.88,217702,23276.13,145087,15483.34,209896,22391.46,-70713,-7509.41
1434,600036.SH,20131106,8.4704,8.5101,8.4227,8.4307,8.5339,-0.1032,-1.2093,492100.76,524440.982,83329,8876.8,67952,7240.78,144298,15375.27,111391,11871.04,138720,14783.13,185112,19730.24,125754,13408.75,127645,13601.9,-15735,-1659.05
1433,600036.SH,20131107,8.4307,8.5021,8.4227,8.4942,8.4307,0.0635,0.7532,381163.28,406577.743,47313,5044.22,49035,5230.56,103755,11064.13,91632,9773.84,141512,15092.84,119554,12752.7,88584,9456.43,120943,12900.53,98010,10476.01
1432,600036.SH,20131108,8.4783,8.518,8.383,8.3989,8.4942,-0.0953,-1.1219,433053.19,461067.445,66522,7072.79,62372,6641.75,137550,14645.68,109381,11654.04,166150,17701.63,112517,11988.88,62831,6686.41,148783,15821.83,-51202,-5405.92
1431,600036.SH,20131111,8.4148,8.4545,8.3433,8.3592,8.3989,-0.0397,-0.4727,429034.48,453035.057,62253,6571.26,32147,3395.55,108814,11487.89,91339,9646.87,130269,13753.08,149436,15784.81,127698,13491.19,156112,16476.19,-83473,-8803.6
1430,600036.SH,20131112,8.3989,8.4862,8.3592,8.4783,8.3592,0.1191,1.4248,589612.49,625010.626,74897,7932.46,54998,5833.78,137986,14616.88,143682,15233.93,232069,24609.6,243978,25875.25,144661,15341.99,146953,15557.98,43792,4686.86
1429,600036.SH,20131113,8.4069,8.4307,8.1925,8.2005,8.4783,-0.2778,-3.2766,857726.47,892881.15,208249,21671.02,95958,9985.44,251634,26201.97,173262,18054.94,271989,28295.75,255048,26548.87,125854,13119.19,333459,34698.68,-124011,-12945.23
1428,600036.SH,20131114,8.256,8.256,8.129,8.1449,8.2005,-0.0556,-0.678,497759.08,512375.166,90367,9299.41,56642,5831.46,151894,15634.82,117421,12092.29,198617,20448.83,153295,15781.48,56882,5854.27,170402,17532.1,-23761,-2421.87
1427,600036.SH,20131115,8.1846,8.3592,8.1687,8.2163,8.1449,0.0714,0.8766,776158.98,808827.143,127009,13220.83,100748,10505.21,253021,26354.86,273099,28486.96,254314,26493.91,285379,29738.41,141814,14812.87,116933,12151.89,-37520,-3860.35
1426,600036.SH,20131118,8.2878,9.0419,8.264,9.0022,8.2163,0.7859,9.5651,2735360.97,2978026.019,250019,27215.77,442225,48326.34,489849,53124.22,783344,85138.96,674091,73002.96,802203,87049.56,1321302,144447.68,707489,77275.76,376580,41712.42
1425,600036.SH,20131119,8.9705,9.0022,8.6768,8.7482,9.0022,-0.254,-2.8215,1407927.27,1563731.734,204150,22640.42,184050,20455.88,361667,40149.07,302747,33676.56,404442,44893.43,428236,47580.3,437588,48681.07,492815,54651.26,-116961,-12883
1424,600036.SH,20131120,8.8197,8.8673,8.6291,8.6926,8.7482,-0.0556,-0.6356,916080,1006411.299,162114,17778.1,113132,12417.27,280880,30842.36,233619,25648.84,307338,33773.49,337550,37093.88,165748,18246.9,231778,25480.87,21846,2469.4
1423,600036.SH,20131121,8.6529,8.7165,8.5259,8.7085,8.6926,0.0159,0.1829,1019489.17,1107262.493,130313,14130.77,115829,12574.56,287146,31164.11,270621,29388.16,287545,31219.75,337053,36646.59,314444,34206.78,295944,32112.09,-27205,-2907.45
1422,600036.SH,20131122,8.7165,8.772,8.6371,8.7165,8.7085,0.008,0.0919,997510.19,1093041.282,76403,8373.08,88525,9712.89,187801,20584.58,202684,22232.2,226076,24778.69,275293,30192.12,507226,55567.22,431005,47166.36,-62925,-6816.92
1421,600036.SH,20131125,8.6926,8.772,8.5815,8.5894,8.7165,-0.1271,-1.4582,554199.53,606068.15,79149,8647.55,68705,7514.65,162198,17740.13,147779,16169.7,186759,20425.81,178582,19534,126093,13793.16,159133,17388.3,7973,926.16
1420,600036.SH,20131126,8.6053,8.6609,8.5736,8.5974,8.5894,0.008,0.0931,451847.78,489637.493,84303,9133.9,53348,5780.8,145194,15736.16,110779,12004.93,139480,15116.6,167690,18175.48,82871,8976.96,120031,13002.41,16425,1794.19
1419,600036.SH,20131127,8.6053,8.7323,8.5418,8.6212,8.5974,0.0238,0.2768,729021.48,793518.314,96373,10476.22,74209,8073.21,191718,20859.82,174998,19039.01,243158,26469.43,263737,28721.22,197772,21546.21,216077,23518.25,-57358,-6174.71
1418,600036.SH,20131128,8.645,8.7879,8.6053,8.6768,8.6212,0.0556,0.6449,715084.99,784421.79,93693,10271.77,96417,10580.97,178374,19555.81,172404,18914.61,274278,30093.16,280733,30780.64,168740,18521.28,165530,18165.8,40093,4434.96
1417,600036.SH,20131129,8.7244,8.7482,8.6371,8.6609,8.6768,-0.0159,-0.1832,481438.73,526013.155,81243,8874.45,59958,6550.24,162417,17743.61,124608,13616.23,130430,14251.37,144432,15785.11,107349,11731.73,152441,16649.58,2626,302.58
