,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1689,600036.SH,20120927,7.2686,7.5505,7.239,7.4763,7.2316,0.2447,3.3838,505059.01,505686.1,36527,3648.79,56790,5686.84,195339,19580.05,194215,19449.17,150415,15044.95,141441,14142.83,122777,12294.82,112613,11289.77,56455,5636.78
1688,600036.SH,20120928,7.4244,7.5505,7.3502,7.5357,7.4763,0.0594,0.7945,389230.65,392264.624,38410,3865.69,51673,5215.96,128707,12958.91,167666,16872.34,123772,12456.23,103957,10486.29,98342,9945.63,65935,6651.88,29615,3053.32
1687,600036.SH,20121008,7.5282,7.6766,7.4986,7.5431,7.5357,0.0074,0.0982,330084.15,337697.96,36354,3708.32,48706,4985.09,67569,6892.41,124607,12724.99,106072,10843.77,93561,9573.58,120089,12325.3,63210,6486.14,1434,193.43
1686,600036.SH,20121009,7.6247,7.6914,7.5653,7.6321,7.5431,0.089,1.1799,432623.74,446295.752,27971,2882.36,52457,5411.28,205221,21169.5,172762,17823.27,107337,11068.9,117094,12079.33,91996,9498.63,90212,9305.51,60915,6301.77
1685,600036.SH,20121010,7.6321,7.6321,7.5505,7.5727,7.6321,-0.0594,-0.7783,233613.47,238821.187,29204,2984.44,22544,2305.1,71978,7357.72,64372,6581.2,79046,8080.15,92483,9455.2,53385,5459.81,54215,5540.62,-51054,-5211.23
1684,600036.SH,20121011,7.5579,7.595,7.4912,7.5653,7.5727,-0.0074,-0.0977,241394.15,245864.855,40138,4091.42,34233,3491.9,95158,9689.88,100188,10196.2,73685,7502.25,61187,6235.47,32413,3302.93,45786,4662.9,19083,1972.54
1683,600036.SH,20121012,7.6024,7.7063,7.5876,7.684,7.5653,0.1187,1.569,400727.15,414289.777,37893,3911.81,61793,6390.4,143142,14790.63,144673,14951.75,102161,10562.17,129447,13379.54,117531,12164.37,64814,6707.28,63764,6610.94
1682,600036.SH,20121015,7.6914,7.6988,7.5876,7.6469,7.684,-0.0371,-0.4828,160064.4,164776.435,32614,3356.72,23862,2457.12,53851,5543.24,56980,5867.24,50725,5222.89,48448,4990.17,22875,2354.8,30774,3163.11,-1150,-112.32
1681,600036.SH,20121016,7.6321,7.6988,7.5727,7.6469,7.6469,0,0,229842.85,236742.799,31851,3278.73,27736,2861.82,87712,9031.45,91953,9481.45,71193,7331.37,62052,6390.65,39086,4032.73,48102,4940.35,-8316,-821.55
1680,600036.SH,20121017,7.6543,7.7137,7.6098,7.684,7.6469,0.0371,0.4852,295653.74,305863.198,20731,2144.17,32103,3324.45,97806,10112.46,108553,11230.22,99950,10333.84,100424,10384.18,77167,7995.85,54575,5647.47,27646,2867.2
1679,600036.SH,20121018,7.7359,7.8175,7.684,7.7804,7.684,0.0964,1.2546,375426.85,393179.674,34637,3627.25,62142,6512.88,94185,9853.32,118117,12368.79,120816,12650.87,107453,11253.46,125789,13186.53,87716,9182.84,57563,6042.23
1678,600036.SH,20121019,7.7878,7.7878,7.7137,7.7433,7.7804,-0.0371,-0.4768,238650.11,249625.613,40220,4207.3,29508,3089.38,68140,7125.85,82882,8674.61,106361,11127.63,73257,7665.47,23929,2501.77,53002,5533.09,-11999,-1237.38
1677,600036.SH,20121022,7.6914,7.8249,7.684,7.7953,7.7433,0.052,0.6715,287582.13,301265.381,23632,2472.11,32344,3388.47,66723,6991.35,83708,8772.32,128121,13430.14,109406,11462.23,69105,7232.94,62123,6503.51,74303,7797.74
1676,600036.SH,20121023,7.7953,7.862,7.7359,7.7508,7.7953,-0.0445,-0.5709,268948.88,283013.779,32861,3454.29,47958,5043.99,71176,7482.96,68844,7241.69,95737,10075.58,92625,9750.4,69175,7288.54,59522,6265.3,19380,2070.21
1675,600036.SH,20121024,7.7137,7.7804,7.7137,7.7582,7.7508,0.0074,0.0955,216248.67,226046.4,18893,1974.88,21150,2211.02,56382,5893.39,40665,4250.49,91377,9554.22,69243,7239.11,49597,5182.15,85191,8904.01,21637,2272.15
1674,600036.SH,20121025,7.7359,7.7804,7.6766,7.6914,7.7582,-0.0668,-0.861,195557.65,203931.727,21455,2235.76,21156,2206.13,65430,6818.02,65034,6787.45,64412,6718.93,61429,6403.84,44261,4620.47,47939,4995.75,-16396,-1695.35
