,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1706,002405.SZ,20120302,10874,2504.41,8407,1937.57,17181,3958.69,16453,3789.8,9419,2169.9,14247,3281.54,3297,757.84,1665,381.94,-3292,-754.35
1705,002405.SZ,20120305,9315,2181.46,11012,2582.34,17398,4073.76,16431,3851.26,15762,3700.43,16719,3917.24,2167,508,480,112.8,-3165,-735.83
1704,002405.SZ,20120306,17824,4051.68,9560,2179.28,19331,4396.8,17789,4045.99,18698,4267.41,25844,5891.36,2428,556.45,5088,1155.7,-5927,-1343.74
1703,002405.SZ,20120307,11056,2517.33,11117,2539.43,17138,3908.08,16647,3794.26,8291,1895.21,8037,1831.85,1369,312.82,2054,467.88,1650,378.95
1702,002405.SZ,20120308,35522,7931.21,13944,3116.3,45176,10088.03,29021,6489.82,34983,7806.94,62204,13878.39,3970,886.53,14482,3228.19,-27487,-6121.98
1701,002405.SZ,20120309,29979,6681.77,19031,4257.73,42035,9377.25,31847,7115.89,37024,8252.37,50889,11340.22,9373,2094.29,16644,3691.82,-6812,-1473.7
1700,002405.SZ,20120312,23940,5484.26,21081,4832.17,35056,8039.48,31928,7318.64,18599,4270.26,20725,4753.77,5068,1160.62,8931,2050.04,-2811,-635.04
1699,002405.SZ,20120313,18470,4238.99,12153,2790.79,27103,6221.47,26856,6167.29,12602,2893.81,19318,4431.43,1626,374.69,1475,339.45,-6350,-1451.03
1698,002405.SZ,20120314,35153,8161.6,37638,8770.34,52712,12253.63,58954,13719.05,47467,11061,47560,11068.17,14315,3358.33,5496,1277.01,-1258,-233.55
1697,002405.SZ,20120315,26398,5893.47,16761,3747.31,23664,5285.58,24893,5562.6,12217,2729.36,18157,4051.87,0,0,2469,546.63,-1221,-260.5
1696,002405.SZ,20120316,15195,3388.43,12249,2736.39,24492,5468.65,26162,5842.58,24417,5455.32,29335,6547.04,7994,1783.91,4352,970.3,-4979,-1103.76
1695,002405.SZ,20120319,13563,3062.43,11981,2710.02,23567,5325.77,21712,4910.43,17118,3877.09,18922,4275.81,669,150.38,2301,519.39,-2437,-543.5
1694,002405.SZ,20120320,27746,6010.64,18336,3976.01,35914,7780.32,42569,9237.35,30072,6528.93,31969,6923.31,10075,2204.3,10932,2387.52,-25422,-5509
1693,002405.SZ,20120321,25514,5278.58,12948,2678.58,34579,7152.99,29142,6020.28,18813,3897.06,29260,6065.64,0,0,7557,1564.14,-14741,-3059.57
1692,002405.SZ,20120322,23489,4709.33,12831,2575.77,29869,5986.76,26954,5403.69,22438,4505.38,28761,5764.22,5210,1046.72,12462,2504.51,-13787,-2758.51
1691,002405.SZ,20120323,20374,4036.45,10195,2023.79,22335,4432.99,22516,4467.42,8719,1732,18498,3669.15,1263,250.77,1481,291.85,-7091,-1394.34
1690,002405.SZ,20120326,21944,4255.38,9369,1821.3,24676,4784.33,23286,4513.87,11869,2301.15,24382,4725.71,4406,853.03,5858,1133.01,-15266,-2947.19
1689,002405.SZ,20120327,19983,3840.26,11732,2263.26,23257,4478.43,21307,4103.27,13515,2600.79,19107,3672.8,1157,223.71,5767,1103.86,-15811,-3023.52
1688,002405.SZ,20120328,23105,4402.08,17420,3322.48,28110,5352.94,28421,5411.6,9968,1896.16,12700,2414.94,0,0,2642,502.16,-5345,-1006.71
1687,002405.SZ,20120330,16229,3011.36,12139,2253.94,23028,4272.3,23490,4355.14,14048,2603.11,15707,2913.14,3663,679.08,5633,1043.64,-9122,-1682.9
1686,002405.SZ,20120405,14537,2738.33,17004,3208.1,19301,3639.7,17634,3323.34,13512,2548.85,13081,2466.29,1624,304.04,1255,233.2,-1968,-359.64
1685,002405.SZ,20120406,14741,2792.39,12950,2455.85,18893,3578.89,16433,3113.85,5783,1093.22,8692,1641.56,0,0,1342,253.24,-6550,-1236.74
1684,002405.SZ,20120409,15121,2806.24,8781,1630.2,15799,2932.73,17571,3261.67,5188,960.85,8537,1581.89,1419,262.86,2637,488.92,-8248,-1524.85
1683,002405.SZ,20120410,18525,3335.5,11141,2010.35,20829,3757.31,23094,4161.85,12761,2299.56,16817,3026.27,0,0,1062,193.89,-8745,-1563.73
1682,002405.SZ,20120411,20662,3720.77,9983,1799.62,21787,3930.52,18906,3411.21,14356,2593.91,24449,4413.07,1750,316.81,5216,938.11,-11727,-2105.65
1681,002405.SZ,20120412,33009,6063.31,31606,5832.76,47866,8799.23,51368,9425.67,24697,4545.52,28139,5161.08,7978,1457.05,2436,445.6,12019,2232.99
1680,002405.SZ,20120413,29097,5509.68,25842,4900.01,35593,6739.25,34620,6557.47,18621,3523.92,24167,4566.18,1318,250.81,0,0,-3323,-614.38
1679,002405.SZ,20120416,18202,3438.42,14831,2805.34,22733,4296.82,21009,3973.6,8645,1637.86,15683,2965.41,3596,685.74,1652,314.49,1099,224.57
1678,002405.SZ,20120417,23175,4413.95,20486,3910.29,34778,6633.68,28526,5436.08,16215,3096.45,23680,4515.53,596,114.19,2072,396.37,-6905,-1312.76
1677,002405.SZ,20120418,41978,6426.91,25560,3925.83,50675,7767.68,44134,6769.95,33017,5068.27,51643,7915.58,10560,1622.03,14893,2273.54,-19767,-2998.94
1676,002405.SZ,20120419,26279,4014.77,15662,2395.26,25418,3884.06,25830,3948.43,13336,2036.25,19886,3034.9,1505,229.85,5160,786.34,-10896,-1660.76
1675,002405.SZ,20120420,26513,4112.72,39461,6139.08,55992,8704.53,44993,6996.23,30189,4703.87,28216,4383.8,3442,540.87,3465,542.89,19326,3023.18
1674,002405.SZ,20120423,27954,4359.25,19286,3012.11,31403,4905.08,33179,5178.66,13757,2149.14,19703,3075.22,0,0,946,147.48,-15762,-2454.87
1673,002405.SZ,20120424,40980,6035.1,26173,3844.4,40052,5897.89,37313,5482.59,32173,4726.59,37689,5536.69,1475,216.86,13505,2012.77,-24294,-3599.44
1672,002405.SZ,20120425,21884,3171.59,16940,2462.12,27433,3977.81,24110,3499.62,18663,2704.12,26249,3793.62,132,19.35,814,117.5,-8980,-1291.39
1671,002405.SZ,20120426,28809,4305.6,28443,4276.44,36223,5433.23,34196,5125.87,22698,3420.39,25015,3748.13,956,143.57,1032,152.34,893,164.92
1670,002405.SZ,20120427,19276,2857.36,12136,1799.64,18857,2794.74,18808,2787.53,6032,893.75,12368,1832.98,885,130.36,1738,256.06,-13250,-1960.6
1669,002405.SZ,20120502,18262,2713.6,12626,1878.88,20364,3028.48,17778,2642.91,7882,1174.47,15136,2250.5,32,4.8,1000,149.04,-5167,-766.48
1668,002405.SZ,20120503,17570,2611.99,17559,2617.58,20093,2995.71,20950,3121.11,7992,1197.82,7966,1190.06,1741,261.7,921,138.46,265,52.98
1667,002405.SZ,20120504,24598,3747.84,25317,3862.76,36021,5491.29,34366,5235.29,26958,4112.69,24722,3768.43,1350,205.35,4521,690.69,-833,-126.8
1666,002405.SZ,20120507,28127,4346.31,24971,3862.63,37968,5871.03,41593,6427.65,16899,2614.54,15557,2407.08,1000,155.26,1873,289.77,70,17.43
1665,002405.SZ,20120508,31082,4798.89,19089,2950.42,36398,5622.93,30546,4719.41,24002,3712.68,31463,4863.5,7511,1165.09,17895,2766.28,-23979,-3697.3
1664,002405.SZ,20120509,42188,6311.38,17826,2675.93,51461,7704.67,56828,8521.23,16264,2433.78,28087,4193.33,263,39.65,7434,1098.99,-32640,-4868.57
1663,002405.SZ,20120510,23739,3496.66,12006,1769.88,29168,4297.19,26982,3976.09,12373,1824.02,26169,3853.41,1871,276.08,1996,294.56,-1976,-284.84
1662,002405.SZ,20120511,23710,3458.72,12209,1784.17,26710,3899.25,20917,3057.45,8814,1288.35,22707,3310.49,0,0,3400,494.2,-18609,-2706.61
1661,002405.SZ,20120514,18482,2670.72,13507,1953.32,18561,2682.9,19231,2780.36,6984,1011.11,11289,1631.05,0,0,0,0,-5595,-803.96
1660,002405.SZ,20120515,16058,2280.82,12313,1751.26,18814,2674.51,17763,2523.77,5321,756.69,10117,1436.99,0,0,0,0,-2546,-358.72
1659,002405.SZ,20120516,20510,2984.75,24440,3560.74,26345,3838.49,24696,3599.24,11635,1695.64,9353,1358.9,0,0,0,0,457,71.66
1658,002405.SZ,20120517,17281,2525.61,16313,2388.08,23563,3446.47,22168,3241.74,12669,1856.52,13097,1915.72,2065,302.22,4000,585.28,-4025,-583.87
1657,002405.SZ,20120518,22044,3162.58,14320,2057.22,23334,3347.78,21336,3061.39,6121,878.02,15595,2235.35,2253,324.22,2500,358.63,-20064,-2878.94
1656,002405.SZ,20120521,12723,1816.33,8798,1257.32,12066,1723.29,11263,1608.36,2884,411.71,7613,1085.64,0,0,0,0,-3461,-491.12
1655,002405.SZ,20120522,12053,1735.31,11070,1594.66,15317,2205.88,14510,2089.27,5977,860.86,6294,906.06,0,0,1473,212.05,-1813,-259.68
1654,002405.SZ,20120523,14407,2057.53,9471,1353.14,11120,1586.6,14408,2056.32,6090,871.02,7673,1096.31,118,16.76,183,26.13,-8702,-1240.23
1653,002405.SZ,20120524,11100,1582.54,10221,1458.18,16892,2409.46,11527,1644.1,5877,837.15,12121,1726.86,0,0,0,0,-3323,-469.95
1652,002405.SZ,20120525,14445,2046.3,9352,1326.79,17331,2455.76,17809,2524.66,5106,724.53,8497,1201.75,1262,178.7,2486,352.1,-12688,-1796
1651,002405.SZ,20120528,40083,5496.92,25098,3455.76,20497,2816.46,26653,3654.14,12502,1731.99,19773,2710.42,1009,136.29,2567,361.35,7680,1059.43
1650,002405.SZ,20120529,15929,2269.26,14892,2123.03,24902,3548.83,19302,2751.21,8917,1269.38,15554,2213.23,0,0,0,0,-2940,-413.56
1649,002405.SZ,20120530,14685,2109.76,14850,2137.02,21806,3135.3,20071,2885.2,8657,1246.77,7228,1037.57,0,0,3000,432.04,3830,553.31
1648,002405.SZ,20120531,30463,4473.53,28349,4164.1,43742,6428.17,40081,5887.67,20187,2969.45,28961,4261.42,3131,461.4,131,19.35,5403,796.69
1647,002405.SZ,20120601,24685,3587.4,13724,1995.76,23167,3367.88,24600,3577.97,4683,681.67,14211,2063.21,0,0,0,0,-11908,-1726.69
1646,002405.SZ,20120604,20924,2941.19,13759,1936.68,22608,3178.77,24810,3485.01,7701,1081.95,11563,1623.82,0,0,1101,156.41,-15272,-2143.47
1645,002405.SZ,20120605,13862,1910.53,9835,1357.96,14325,1976.65,14338,1976.64,4828,664.75,8842,1217.33,0,0,0,0,-6692,-918.49
1644,002405.SZ,20120606,53128,7717.06,40246,5856.15,52953,7696.69,52792,7669.06,18512,2688.21,31159,4517.23,1289,182.37,1684,241.89,-4541,-631.81
1643,002405.SZ,20120607,45989,6487.26,22583,3184.31,45679,6453.78,60566,8553.71,12745,1799.58,18488,2603.79,4169,600.41,6945,999.22,-29884,-4216.01
1642,002405.SZ,20120608,29405,4036.42,18968,2605.29,29554,4051.27,31951,4380.61,10872,1491.32,18650,2556.1,1475,205.14,1737,242.15,-15034,-2057.24
1641,002405.SZ,20120611,21763,3034.15,23224,3238.1,30007,4186.22,30334,4230.65,15376,2148.43,14217,1986.85,1574,219.35,944,132.55,2435,343.1
1640,002405.SZ,20120612,22551,3102.22,14389,1979.91,23423,3222.51,23029,3166.97,10495,1444.14,19051,2621.99,0,0,0,0,-19148,-2629.73
1639,002405.SZ,20120613,28289,3889.1,34718,4804.84,35675,4923.71,36802,5076.49,28691,3962.44,23402,3217.41,7426,1031.64,5159,708.15,6894,984.47
1638,002405.SZ,20120614,28628,4017.72,19409,2727.7,35406,4972.64,34835,4891.25,17895,2510.4,26944,3778.4,4871,685.74,5612,789.14,-9216,-1281.65
1637,002405.SZ,20120615,24336,3380.56,15671,2178.45,31455,4373.61,34122,4742.73,10337,1438.86,16339,2272.4,1009,139.25,1005,138.69,1478,214.14
1636,002405.SZ,20120618,29655,4196.04,34235,4856.91,51043,7233.77,50317,7127.74,30678,4348.95,26225,3711.46,1936,274.87,2535,357.53,10814,1543.34
1635,002405.SZ,20120619,41122,5841.06,19018,2705.19,39192,5566.86,40850,5804.63,21846,3103.55,33979,4821.53,1583,226.86,9897,1406.99,-19402,-2744.35
1634,002405.SZ,20120620,81412,12055.95,86934,12878.68,109747,16252.66,121195,17950.78,71208,10547.88,65183,9648.96,18786,2768.99,7842,1147.07,36188,5353.08
1633,002405.SZ,20120621,62278,9142.54,46470,6837.05,78797,11581.11,62773,9231.74,40704,5984.38,66219,9718.84,3433,508.83,9750,1429.24,-11068,-1586.89
1632,002405.SZ,20120625,81238,11326.9,42058,5872.27,82748,11535.34,79358,11050.57,40516,5646.21,68175,9485.09,831,120.66,15743,2221.17,-49017,-6855.38
